ip,exporter_group,hostname,interface,interface_speed,interface_bits,interface_utilization,interface_utilization_total,interface_bits_total
10.1.1.3,Sample Deployment,10.1.1.3,87 - GigabitEthernet2/0/26 (Gi2/0/26),1.00 Gb/s,39747016,0.05 %,19.16 %,14368449876
10.1.1.3,Sample Deployment,10.1.1.3,19 - SonicWall Bayring Internet Link (GigabitEthernet1/0/17),1.00 Gb/s,169926334,0.23 %,5.65 %,4237362345
10.1.1.251,West Office,10.1.1.251,2 - X1 (WAN) (X1),1.00 Gb/s,250378332,0.33 %,4.43 %,3324402502
10.1.1.3,Sample Deployment,10.1.1.3,34 - Replicator 10.1.4.66 (GigabitEthernet1/0/32),10.00 Gb/s,104562336,0.01 %,4.41 %,33050530862
10.1.1.3,Sample Deployment,10.1.1.3,50 - VLAN 7 LINK TO PINKMAN (GigabitEthernet1/0/48),1.00 Gb/s,168820,0.00 %,0.83 %,624599116
10.1.1.3,Sample Deployment,10.1.1.3,105 - GigabitEthernet2/0/44 (Gi2/0/44),1.00 Gb/s,31648,0.00 %,0.75 %,564043394
10.1.1.251,West Office,10.1.1.251,1 - X0 (LAN) (X0),1.00 Gb/s,10310857,0.01 %,0.41 %,310054804
10.1.1.3,Sample Deployment,10.1.1.3,29 - GigabitEthernet1/0/27 (Gi1/0/27),1.00 Gb/s,31096,0.00 %,0.40 %,300506019
10.1.1.3,Sample Deployment,10.1.1.3,27 - GigabitEthernet1/0/25 (Gi1/0/25),1.00 Gb/s,30866,0.00 %,0.30 %,221749119
10.1.1.3,Sample Deployment,10.1.1.3,12 - GigabitEthernet1/0/10 (Gi1/0/10),1.00 Gb/s,2116,0.00 %,0.22 %,166715362
10.1.1.3,Sample Deployment,10.1.1.3,23 - GigabitEthernet1/0/21 (Gi1/0/21),1.00 Gb/s,4876,0.00 %,0.04 %,31121268
10.1.1.3,Sample Deployment,10.1.1.3,22 - GigabitEthernet1/0/20 (Gi1/0/20),1.00 Gb/s,25484,0.00 %,0.01 %,7935576
10.1.2.124,No Group,10.1.2.124,Instance 256,NA,854639221,,,8193680638
10.1.1.3,Sample Deployment,10.1.1.3,0 - LIIN0 (LIIN0),NA,157680950,,,109191338463
10.30.15.245,Devices,10.30.15.245,Instance 1,NA,14194057,,,953767621
192.168.5.25,No Group,192.168.5.25,Instance 1701132132,NA,10448,,,10224365
10.1.2.124,No Group,10.1.2.124,Instance 512,NA,892130042,,,15944172113
192.168.5.25,No Group,192.168.5.25,Instance 808464432,NA,293856,,,369085139
